Aged 3rd H,,,,,
T (K),V (mm3),,,,
630.290747,130.015952,,,,
630.428473,130.016260,,,,
630.602087,130.017593,,,,
630.666144,130.019849,,,,
630.875586,130.021182,,,,
631.062689,130.021182,,,,
631.240179,130.022208,,,,
631.601874,130.023438,,,,
631.420538,130.025079,,,,
631.837439,130.025079,,,,
632.012885,130.027233,,,,
632.052649,130.028464,,,,
632.315314,130.028669,,,,
632.428687,130.029592,,,,
632.714575,130.031540,,,,
632.950049,130.031951,,,,
632.844427,130.032771,,,,
633.111853,130.034104,,,,
633.311469,130.036156,,,,
633.427740,130.036873,,,,
633.639868,130.038719,,,,
633.646643,130.038002,,,,
633.964362,130.040155,,,,
634.233618,130.041591,,,,
634.192969,130.042002,,,,
634.628760,130.043745,,,,
634.559973,130.043745,,,,
634.858221,130.045694,,,,
635.123541,130.045591,,,,
635.163184,130.046925,,,,
635.181616,130.048566,,,,
635.379095,130.048155,,,,
635.669531,130.049694,,,,
635.780859,130.050822,,,,
635.963782,130.052463,,,,
635.928900,130.052668,,,,
636.173773,130.055130,,,,
636.581152,130.057592,,,,
636.587958,130.056258,,,,
636.739844,130.057181,,,,
637.051367,130.060053,,,,
636.933356,130.059848,,,,
637.421851,130.061695,,,,
637.489600,130.063541,,,,
637.671393,130.063233,,,,
637.799109,130.063541,,,,
637.807776,130.065798,,,,
638.172400,130.066721,,,,
638.263312,130.067747,,,,
638.486670,130.068567,,,,
638.609412,130.070106,,,,
638.779608,130.070619,,,,
638.871466,130.071439,,,,
639.232001,130.072362,,,,
639.204016,130.073491,,,,
639.549994,130.075132,,,,
639.641821,130.077081,,,,
639.671790,130.076568,,,,
639.851569,130.078415,,,,
640.077704,130.078620,,,,
640.248694,130.080056,,,,
640.342444,130.081390,,,,
640.639044,130.083954,,,,
640.704718,130.083544,,,,
640.914343,130.084570,,,,
641.237006,130.085903,,,,
641.226385,130.086211,,,,
641.389594,130.087340,,,,
641.697668,130.088981,,,,
641.689948,130.091546,,,,
641.981604,130.091135,,,,
642.116827,130.093392,,,,
642.301215,130.092264,,,,
642.353308,130.094623,,,,
642.526160,130.095649,,,,
642.814795,130.095239,,,,
642.905524,130.096983,,,,
643.148779,130.099548,,,,
643.281958,130.099137,,,,
643.359259,130.100266,,,,
643.668982,130.101805,,,,
643.625525,130.103139,,,,
643.909247,130.103344,,,,
644.059760,130.104985,,,,
644.131140,130.106319,,,,
644.571112,130.107140,,,,
644.566260,130.108474,,,,
644.718695,130.109807,,,,
644.866278,130.110833,,,,
645.042792,130.111859,,,,
645.399634,130.111346,,,,
645.405402,130.113706,,,,
645.542334,130.115143,,,,
645.766089,130.115245,,,,
646.050543,130.116477,,,,
646.120917,130.118221,,,,
646.313757,130.119144,,,,
646.482397,130.120478,,,,
646.539313,130.121607,,,,
646.555701,130.122222,,,,
646.890204,130.123351,,,,
647.006781,130.123864,,,,
647.296881,130.124993,,,,
647.466528,130.126224,,,,
647.526282,130.127661,,,,
647.782568,130.127763,,,,
647.948279,130.128687,,,,
648.061957,130.130123,,,,
648.354865,130.131867,,,,
648.317267,130.132996,,,,
648.664069,130.133714,,,,
648.783514,130.134741,,,,
649.010840,130.136075,,,,
649.096503,130.138435,,,,
649.481726,130.139461,,,,
649.428809,130.139256,,,,
649.610785,130.140282,,,,
649.799536,130.142026,,,,
649.935217,130.142437,,,,
650.161536,130.142847,,,,
650.203894,130.144284,,,,
650.450323,130.146131,,,,
650.543677,130.146439,,,,
650.645697,130.148389,,,,
650.887305,130.149517,,,,
651.112524,130.149107,,,,
651.228979,130.150851,,,,
651.366553,130.151672,,,,
651.747656,130.152698,,,,
651.820715,130.154648,,,,
652.077612,130.155572,,,,
651.987158,130.157932,,,,
652.324866,130.158035,,,,
652.446112,130.158548,,,,
652.502875,130.159574,,,,
652.801978,130.160293,,,,
652.897192,130.160703,,,,
653.263586,130.161216,,,,
653.338599,130.162448,,,,
653.554968,130.163166,,,,
653.604956,130.164193,,,,
653.866492,130.166348,,,,
654.022253,130.166758,,,,
654.109717,130.167477,,,,
654.267401,130.169529,,,,
654.595160,130.169837,,,,
654.673926,130.171171,,,,
654.712439,130.171992,,,,
654.936377,130.172916,,,,
655.214148,130.172813,,,,
655.218970,130.175071,,,,
655.404395,130.177124,,,,
655.647528,130.177534,,,,
655.864630,130.177842,,,,
655.893500,130.179895,,,,
656.186469,130.179998,,,,
656.338232,130.181948,,,,
656.420874,130.182564,,,,
656.555396,130.184001,,,,
656.678290,130.185232,,,,
656.969336,130.186259,,,,
657.116248,130.188209,,,,
657.238196,130.189133,,,,
657.456213,130.190467,,,,
657.651099,130.191288,,,,
657.667456,130.192315,,,,
658.062994,130.192109,,,,
658.062994,130.193751,,,,
658.240576,130.195188,,,,
658.447974,130.195599,,,,
658.750281,130.196933,,,,
658.862616,130.197960,,,,
658.954749,130.199910,,,,
659.182196,130.200629,,,,
659.142889,130.200218,,,,
659.402899,130.202066,,,,
659.702338,130.204427,,,,
659.839514,130.204427,,,,
659.807837,130.205145,,,,
660.128302,130.207301,,,,
660.258734,130.208122,,,,
660.454413,130.209251,,,,
660.653937,130.210586,,,,
660.811255,130.211920,,,,
660.916754,130.212331,,,,
661.112433,130.214692,,,,
661.390509,130.216232,,,,
661.364630,130.215924,,,,
661.597632,130.217566,,,,
661.819159,130.218490,,,,
661.929358,130.220338,,,,
662.071265,130.220338,,,,
662.274512,130.221570,,,,
662.275519,130.221980,,,,
662.478705,130.224855,,,,
662.798865,130.224752,,,,
662.864020,130.225984,,,,
662.867865,130.226189,,,,
663.173651,130.227011,,,,
663.433325,130.228756,,,,
663.509985,130.229475,,,,
663.662329,130.230501,,,,
663.952673,130.231015,,,,
664.134650,130.232657,,,,
664.263037,130.233273,,,,
664.460425,130.235840,,,,
664.757330,130.237072,,,,
664.673010,130.237996,,,,
664.977606,130.238714,,,,
665.015936,130.239125,,,,
665.356848,130.241281,,,,
665.501501,130.242718,,,,
665.561774,130.242410,,,,
665.744696,130.243129,,,,
665.947729,130.244361,,,,
666.176550,130.245798,,,,
666.131537,130.246928,,,,
666.508704,130.248263,,,,
666.620703,130.248263,,,,
666.843695,130.249803,,,,
667.059119,130.251651,,,,
666.981573,130.252062,,,,
667.284033,130.253294,,,,
667.328986,130.254320,,,,
667.549078,130.255039,,,,
667.699377,130.257092,,,,
668.015112,130.258119,,,,
668.245673,130.258633,,,,
668.296393,130.259762,,,,
668.361456,130.261097,,,,
668.606329,130.262329,,,,
668.685706,130.264280,,,,
668.988928,130.265101,,,,
669.166876,130.266128,,,,
669.166876,130.267052,,,,
669.368689,130.267258,,,,
669.407935,130.269414,,,,
669.551337,130.270749,,,,
670.035162,130.270646,,,,
670.272345,130.273008,,,,
670.329688,130.273830,,,,
670.409003,130.275062,,,,
670.647070,130.275267,,,,
670.899481,130.277013,,,,
670.850684,130.276602,,,,
671.067664,130.279169,,,,
671.283728,130.279785,,,,
671.431799,130.281839,,,,
671.444281,130.280504,,,,
671.693732,130.283174,,,,
671.911536,130.284201,,,,
672.119879,130.284920,,,,
672.219244,130.286563,,,,
672.383551,130.287487,,,,
672.533606,130.289336,,,,
672.828802,130.289746,,,,
672.890906,130.290773,,,,
672.956824,130.292314,,,,
673.196570,130.293135,,,,
673.379919,130.294060,,,,
673.572852,130.294984,,,,
673.705603,130.295292,,,,
673.816382,130.296319,,,,
674.211676,130.297757,,,,
674.287146,130.298476,,,,
674.481940,130.300324,,,,
674.498175,130.301043,,,,
674.738776,130.303200,,,,
674.904852,130.304638,,,,
674.958380,130.304432,,,,
675.252356,130.305665,,,,
675.319189,130.305665,,,,
675.395514,130.308129,,,,
675.785864,130.308746,,,,
676.054053,130.309465,,,,
676.157111,130.309773,,,,
676.285925,130.311519,,,,
676.455786,130.312854,,,,
676.526373,130.314497,,,,
676.840308,130.316243,,,,
677.104590,130.316654,,,,
677.174170,130.318195,,,,
677.268683,130.317476,,,,
677.294409,130.319735,,,,
677.555792,130.320557,,,,
677.757971,130.322919,,,,
677.887640,130.323638,,,,
677.967749,130.323844,,,,
